"DATE","TIME PERIOD","All euro area yield curve - 10-year spot rate (YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_10Y)","All euro area yield curve - 1-year spot rate (YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_1Y)","All euro area yield curve - 20-year spot rate (YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_20Y)","All euro area yield curve - 2-year spot rate (YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_2Y)","All euro area yield curve - 30-year spot rate (YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_30Y)","All euro area yield curve - 3-month spot rate (YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_3M)","All euro area yield curve - 3-year spot rate (YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_3Y)","All euro area yield curve - 5-year spot rate (YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_5Y)","All euro area yield curve - 6-month spot rate (YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_6M)","All euro area yield curve - 7-year spot rate (YC.B.U2.EUR.4F.G_N_C.SV_C_YM.SR_7Y)"
"2004-11-22","22 Nov 2004","3.880659","2.219258","4.485075","2.434278","4.661265","2.085911","2.663966","3.102613","2.126407","3.471236"
"2004-11-23","23 Nov 2004","3.872384","2.217953","4.474032","2.428617","4.648289","2.090782","2.656430","3.094326","2.128851","3.463122"
"2004-11-24","24 Nov 2004","3.867896","2.200456","4.469160","2.399768","4.640092","2.095430","2.626892","3.073685","2.124328","3.451550"
"2004-11-25","25 Nov 2004","3.855257","2.177788","4.452362","2.374547","4.620661","2.080715","2.603254","3.055689","2.106132","3.437371"
"2004-11-26","26 Nov 2004","3.852552","2.172409","4.438109","2.371278","4.600770","2.074809","2.602148","3.056854","2.100215","3.438051"
"2004-11-29","29 Nov 2004","3.891298","2.195111","4.477892","2.409519","4.642349","2.073738","2.646053","3.100925","2.108641","3.479274"
"2004-11-30","30 Nov 2004","3.867365","2.177895","4.462956","2.384561","4.632287","2.067124","2.617649","3.071560","2.097894","3.451753"
"2004-12-01","01 Dec 2004","3.844194","2.157388","4.438410","2.357791","4.607311","2.057893","2.589552","3.045332","2.084023","3.427572"
"2004-12-02","02 Dec 2004","3.871929","2.193941","4.461454","2.409337","4.631120","2.067060","2.643425","3.091101","2.104441","3.463832"
"2004-12-03","03 Dec 2004","3.842881","2.177699","4.444518","2.380577","4.620288","2.067609","2.608879","3.054467","2.098475","3.429688"
"2004-12-06","06 Dec 2004","3.794909","2.140068","4.400703","2.326602","4.578052","2.056429","2.549830","2.997355","2.076616","3.377235"
"2004-12-07","07 Dec 2004","3.765912","2.135467","4.385769","2.316329","4.572331","2.053360","2.533173","2.971289","2.073480","3.347350"
"2004-12-08","08 Dec 2004","3.767471","2.154517","4.370420","2.342535","4.550322","2.059033","2.559893","2.991444","2.084643","3.359126"
"2004-12-09","09 Dec 2004","3.691863","2.137273","4.295148","2.311230","4.478357","2.053515","2.516849","2.931726","2.075139","3.289843"
"2004-12-10","10 Dec 2004","3.667812","2.151290","4.273033","2.323868","4.460959","2.061514","2.523434","2.924383","2.086118","3.272567"
"2004-12-13","13 Dec 2004","3.676849","2.149747","4.272186","2.325875","4.453975","2.057724","2.528668","2.933750","2.082985","3.283116"
"2004-12-14","14 Dec 2004","3.663005","2.152980","4.245496","2.328298","4.421694","2.060911","2.529592","2.930596","2.086262","3.275474"
"2004-12-15","15 Dec 2004","3.616320","2.147578","4.190686","2.316022","4.365375","2.059941","2.510471","2.899859","2.083942","3.236438"
"2004-12-16","16 Dec 2004","3.637813","2.178342","4.202898","2.369453","4.380678","2.053866","2.569590","2.950128","2.092658","3.272716"
"2004-12-17","17 Dec 2004","3.687594","2.207306","4.233621","2.413252","4.401197","2.065336","2.621680","3.007711","2.110704","3.328782"
"2004-12-20","20 Dec 2004","3.657075","2.188541","4.216514","2.376263","4.388381","2.071826","2.577080","2.962591","2.107349","3.289468"
"2004-12-21","21 Dec 2004","3.680016","2.221671","4.243062","2.426917","4.425604","2.075550","2.631370","3.008071","2.122931","3.323052"
"2004-12-22","22 Dec 2004","3.678281","2.230193","4.249103","2.446522","4.445844","2.065698","2.653121","3.023184","2.120451","3.329226"
"2004-12-23","23 Dec 2004","3.649484","2.208012","4.241905","2.415394","4.450229","2.053916","2.617065","2.984627","2.104784","3.293262"
"2004-12-24","24 Dec 2004","3.594858","2.208914","4.246585","2.415840","4.521660","2.045726","2.609408","2.954818","2.100824","3.246354"
"2004-12-27","27 Dec 2004","3.671311","2.220069","4.258630","2.432428","4.456822","2.059608","2.636677","3.006102","2.112922","3.315116"
"2004-12-28","28 Dec 2004","3.685395","2.211925","4.263983","2.422238","4.447705","2.057731","2.628502","3.006208","2.108364","3.323014"
"2004-12-29","29 Dec 2004","3.745439","2.248773","4.324266","2.487735","4.526160","2.057414","2.707161","3.087538","2.122294","3.395719"
"2004-12-30","30 Dec 2004","3.748300","2.244525","4.335257","2.483356","4.541323","2.053698","2.703126","3.085046","2.118352","3.395306"
"2004-12-31","31 Dec 2004","3.729937","2.243116","4.334081","2.488222","4.572868","2.041646","2.708544","3.083694","2.110554","3.385146"
"2005-01-03","03 Jan 2005","3.709419","2.230381","4.301610","2.463344","4.512698","2.044401","2.678091","3.052623","2.107406","3.358635"
"2005-01-04","04 Jan 2005","3.703001","2.230565","4.283080","2.464865","4.487768","2.042685","2.679943","3.053253","2.106423","3.356734"
"2005-01-05","05 Jan 2005","3.731528","2.243051","4.297412","2.485505","4.493227","2.046621","2.705919","3.084240","2.113477","3.388251"
"2005-01-06","06 Jan 2005","3.688473","2.202846","4.258794","2.423960","4.434939","2.034800","2.635452","3.015245","2.090740","3.330005"
"2005-01-07","07 Jan 2005","3.661229","2.185285","4.226774","2.397705","4.394799","2.028590","2.605181","2.983824","2.080168","3.300458"
"2005-01-10","10 Jan 2005","3.662096","2.179488","4.225931","2.394782","4.392962","2.019663","2.604084","2.984492","2.072396","3.301576"
"2005-01-11","11 Jan 2005","3.655208","2.201341","4.214247","2.416360","4.385165","2.038610","2.622708","2.994402","2.092699","3.303177"
"2005-01-12","12 Jan 2005","3.664523","2.204081","4.225728","2.420025","4.397130","2.040711","2.627306","3.000728","2.095006","3.310928"
"2005-01-13","13 Jan 2005","3.630909","2.173000","4.191353","2.373333","4.351695","2.031684","2.574809","2.950463","2.077378","3.268285"
"2005-01-14","14 Jan 2005","3.622583","2.183292","4.160701","2.387241","4.311549","2.035916","2.589001","2.960046","2.084026","3.270692"
"2005-01-17","17 Jan 2005","3.596789","2.173523","4.133349","2.373822","4.284557","2.029396","2.572608","2.939316","2.076370","3.247198"
"2005-01-18","18 Jan 2005","3.612621","2.186603","4.133633","2.393612","4.277202","2.034317","2.595811","2.963601","2.084372","3.268884"
"2005-01-19","19 Jan 2005","3.574160","2.178925","4.071566","2.380390","4.201635","2.032301","2.578398","2.939595","2.080282","3.239007"
"2005-01-20","20 Jan 2005","3.624603","2.198167","4.129506","2.409113","4.263356","2.041417","2.613502","2.982187","2.093126","3.285670"
"2005-01-21","21 Jan 2005","3.629415","2.191950","4.147424","2.400889","4.286787","2.038582","2.605149","2.976531","2.088943","3.284197"
"2005-01-24","24 Jan 2005","3.599280","2.174546","4.121678","2.377092","4.263210","2.028394","2.577500","2.945596","2.076069","3.252867"
"2005-01-25","25 Jan 2005","3.573248","2.168182","4.067790","2.366680","4.192235","2.027587","2.564991","2.930437","2.073082","3.234324"
"2005-01-26","26 Jan 2005","3.616017","2.183346","4.099803","2.395252","4.218458","2.027844","2.601820","2.974610","2.078865","3.279611"
"2005-01-27","27 Jan 2005","3.624273","2.201952","4.104643","2.430381","4.236225","2.021782","2.641918","3.008624","2.082512","3.301754"
"2005-01-28","28 Jan 2005","3.582180","2.179354","4.079815","2.389159","4.215541","2.021977","2.591074","2.953303","2.074077","3.250463"
"2005-01-31","31 Jan 2005","3.577157","2.184247","4.070626","2.396092","4.207605","2.023002","2.597874","2.956948","2.076675","3.250128"
"2005-02-01","01 Feb 2005","3.577644","2.178564","4.069154","2.393249","4.205203","2.014212","2.596815","2.957542","2.069032","3.251045"
"2005-02-02","02 Feb 2005","3.560433","2.187355","4.030873","2.401088","4.157338","2.022511","2.602490","2.957034","2.077637","3.243597"
"2005-02-03","03 Feb 2005","3.576522","2.204252","4.015056","2.427800","4.125318","2.027593","2.634152","2.989677","2.087161","3.271098"
"2005-02-04","04 Feb 2005","3.528401","2.189841","3.968256","2.403482","4.080745","2.022869","2.602557","2.948927","2.078960","3.225675"
"2005-02-07","07 Feb 2005","3.506314","2.196424","3.916724","2.411918","4.016190","2.025239","2.609953","2.949578","2.083064","3.217183"
"2005-02-08","08 Feb 2005","3.506310","2.211737","3.930554","2.432408","4.052254","2.030962","2.630394","2.963419","2.092679","3.223449"
"2005-02-09","09 Feb 2005","3.471582","2.191936","3.888480","2.400456","3.994714","2.026322","2.592388","2.922903","2.082276","3.185224"
"2005-02-10","10 Feb 2005","3.465483","2.176886","3.888064","2.376185","3.988032","2.024923","2.565377","2.899750","2.075519","3.169635"
"2005-02-11","11 Feb 2005","3.495509","2.175403","3.945352","2.375056","4.057534","2.025057","2.566504","2.908353","2.074894","3.187055"
"2005-02-14","14 Feb 2005","3.521390","2.187840","3.975819","2.398936","4.096898","2.022705","2.595797","2.939501","2.078213","3.215970"
"2005-02-15","15 Feb 2005","3.531244","2.198506","3.978362","2.417388","4.101391","2.022969","2.617454","2.960378","2.082481","3.232470"
"2005-02-16","16 Feb 2005","3.508759","2.194453","3.985997","2.409656","4.138166","2.020415","2.605404","2.940847","2.079605","3.209009"
"2005-02-17","17 Feb 2005","3.614243","2.214765","4.063584","2.453556","4.183831","2.019248","2.667868","3.028308","2.085985","3.309423"
"2005-02-18","18 Feb 2005","3.691645","2.222743","4.146492","2.478247","4.263761","2.011828","2.705753","3.084809","2.084004","3.377441"
"2005-02-21","21 Feb 2005","3.707900","2.235526","4.162923","2.492383","4.280660","2.023157","2.720764","3.100706","2.095867","3.393631"
"2005-02-22","22 Feb 2005","3.717535","2.230033","4.182759","2.487731","4.304433","2.017635","2.717544","3.101181","2.090284","3.398020"
"2005-02-23","23 Feb 2005","3.709197","2.219840","4.179013","2.466767","4.291922","2.022062","2.692343","3.077592","2.089067","3.380798"
"2005-02-24","24 Feb 2005","3.733665","2.228679","4.208227","2.479371","4.323442","2.027234","2.707782","3.096933","2.095557","3.402683"
"2005-02-25","25 Feb 2005","3.767265","2.243398","4.225336","2.505666","4.332139","2.029126","2.741095","3.135809","2.102192","3.441111"
"2005-02-28","28 Feb 2005","3.732161","2.235423","4.193829","2.495843","4.313131","2.020606","2.727816","3.114298","2.094097","3.412454"
"2005-03-01","01 Mar 2005","3.745927","2.234367","4.217274","2.496604","4.341584","2.018221","2.730403","3.120433","2.092150","3.421883"
"2005-03-02","02 Mar 2005","3.816453","2.238360","4.297874","2.505600","4.410898","2.022183","2.747515","3.156430","2.095655","3.474858"
"2005-03-03","03 Mar 2005","3.796764","2.220103","4.300420","2.479717","4.424649","2.013019","2.717682","3.125414","2.083078","3.447258"
"2005-03-04","04 Mar 2005","3.748877","2.198936","4.237802","2.440484","4.345299","2.015434","2.669871","3.073931","2.076418","3.397686"
"2005-03-07","07 Mar 2005","3.708881","2.184016","4.197513","2.417646","4.305965","2.008681","2.641533","3.039086","2.066689","3.359662"
"2005-03-08","08 Mar 2005","3.743201","2.186163","4.231530","2.421893","4.335563","2.012697","2.650387","3.058464","2.069626","3.387307"
"2005-03-09","09 Mar 2005","3.807738","2.204276","4.297430","2.454769","4.400656","2.015552","2.693482","3.113565","2.078043","3.448218"
"2005-03-10","10 Mar 2005","3.802181","2.203842","4.296089","2.450931","4.401937","2.019160","2.687744","3.106520","2.080129","3.441410"
"2005-03-11","11 Mar 2005","3.815295","2.198555","4.326277","2.444809","4.440039","2.016400","2.682603","3.105962","2.076297","3.446515"
"2005-03-14","14 Mar 2005","3.822247","2.211159","4.318158","2.463522","4.426503","2.020452","2.703520","3.125246","2.083673","3.461063"
"2005-03-15","15 Mar 2005","3.766127","2.202110","4.260931","2.443023","4.372725","2.021742","2.673868","3.082682","2.081336","3.410738"
"2005-03-16","16 Mar 2005","3.749367","2.233104","4.232304","2.488444","4.359452","2.026585","2.719742","3.111497","2.096777","3.417909"
"2005-03-17","17 Mar 2005","3.720947","2.231890","4.204975","2.479737","4.334751","2.032506","2.705365","3.089673","2.100155","3.392041"
"2005-03-18","18 Mar 2005","3.761289","2.244110","4.243991","2.501344","4.372413","2.035092","2.733469","3.125244","2.106245","3.430903"
"2005-03-21","21 Mar 2005","3.771282","2.258421","4.236370","2.521107","4.357354","2.042412","2.755600","3.146729","2.116228","3.448375"
"2005-03-22","22 Mar 2005","3.725676","2.258234","4.198372","2.517262","4.339916","2.041946","2.745655","3.122885","2.116238","3.412853"
"2005-03-23","23 Mar 2005","3.765657","2.278160","4.223547","2.546931","4.355888","2.051630","2.781700","3.165005","2.129660","3.455842"
"2005-03-24","24 Mar 2005","3.734207","2.276168","4.208067","2.539957","4.362476","2.052687","2.769481","3.143481","2.129801","3.427985"
"2005-03-29","29 Mar 2005","3.747086","2.279887","4.223723","2.545289","4.378779","2.055063","2.776241","3.152603","2.132638","3.438922"
"2005-03-30","30 Mar 2005","3.732593","2.272992","4.222079","2.532685","4.384241","2.054379","2.760136","3.133848","2.129670","3.420841"
"2005-03-31","31 Mar 2005","3.693343","2.237072","4.183060","2.475470","4.315225","2.046213","2.693694","3.068324","2.110882","3.366027"
"2005-04-01","01 Apr 2005","3.649915","2.206055","4.176087","2.425005","4.322583","2.038475","2.633043","3.003582","2.094388","3.307665"
"2005-04-04","04 Apr 2005","3.659387","2.212603","4.159551","2.435095","4.287145","2.042011","2.645842","3.018987","2.098946","3.322355"
"2005-04-05","05 Apr 2005","3.651684","2.213731","4.149336","2.435151","4.276514","2.043703","2.644672","3.015404","2.100482","3.316764"
"2005-04-06","06 Apr 2005","3.649134","2.206240","4.168035","2.422982","4.306345","2.042020","2.630364","3.001536","2.096605","3.306622"
"2005-04-07","07 Apr 2005","3.628539","2.185061","4.167644","2.395438","4.316384","2.028585","2.599661","2.970300","2.080250","3.278740"
"2005-04-08","08 Apr 2005","3.644219","2.183115","4.204617","2.391949","4.363564","2.029614","2.596536","2.971122","2.080077","3.285356"
"2005-04-11","11 Apr 2005","3.633303","2.174566","4.183026","2.381488","4.333422","2.024294","2.585660","2.960900","2.073454","3.275573"
"2005-04-12","12 Apr 2005","3.625422","2.178393","4.162367","2.387261","4.307622","2.024713","2.591448","2.963749","2.075239","3.274067"
"2005-04-13","13 Apr 2005","3.598307","2.173214","4.140587","2.376284","4.291478","2.024612","2.575772","2.941590","2.073378","3.248469"
"2005-04-14","14 Apr 2005","3.608912","2.172701","4.156473","2.378972","4.310965","2.020618","2.580580","2.948904","2.070672","3.257291"
"2005-04-15","15 Apr 2005","3.571193","2.144316","4.138884","2.335707","4.300934","2.011030","2.530126","2.896467","2.053919","3.209812"
"2005-04-18","18 Apr 2005","3.571033","2.138486","4.137575","2.332156","4.298972","2.002762","2.528060","2.895912","2.046547","3.209725"
"2005-04-19","19 Apr 2005","3.541541","2.125582","4.097881","2.304922","4.248639","2.009735","2.494803","2.861602","2.045771","3.178158"
"2005-04-20","20 Apr 2005","3.545295","2.123652","4.100348","2.300973","4.249259","2.012087","2.491100","2.860656","2.046340","3.179885"
"2005-04-21","21 Apr 2005","3.587898","2.126976","4.114162","2.308646","4.240074","2.018697","2.507083","2.892788","2.050937","3.221152"
"2005-04-22","22 Apr 2005","3.547252","2.118966","4.094315","2.299107","4.239107","2.005253","2.491566","2.863822","2.040201","3.183512"
"2005-04-25","25 Apr 2005","3.533124","2.118935","4.077754","2.296800","4.222566","2.006724","2.486982","2.855289","2.041206","3.172079"
"2005-04-26","26 Apr 2005","3.514579","2.113105","4.058132","2.287543","4.203056","2.004244","2.475180","2.840152","2.037522","3.155027"
"2005-04-27","27 Apr 2005","3.489051","2.105275","4.031119","2.274708","4.176371","2.001490","2.458759","2.819189","2.032924","3.131512"
"2005-04-28","28 Apr 2005","3.488187","2.092979","4.037674","2.259552","4.185174","1.994824","2.443764","2.808121","2.023944","3.125160"
"2005-04-29","29 Apr 2005","3.528887","2.091184","4.064962","2.258518","4.197420","2.001053","2.449500","2.830371","2.026336","3.159173"
"2005-05-02","02 May 2005","3.495196","2.082077","4.032439","2.239191","4.165296","2.003583","2.423934","2.798875","2.024516","3.125811"
"2005-05-03","03 May 2005","3.488480","2.066458","4.018679","2.215236","4.143866","2.004680","2.399738","2.781661","2.018664","3.115123"
"2005-05-04","04 May 2005","3.524994","2.077106","4.052565","2.233467","4.173776","2.008009","2.423591","2.812624","2.024608","3.149692"
"2005-05-05","05 May 2005","3.512406","2.071418","4.055409","2.224036","4.185646","2.004690","2.410906","2.796395","2.020606","3.133462"
"2005-05-06","06 May 2005","3.539666","2.083531","4.071838","2.247553","4.196381","2.002498","2.440305","2.829091","2.023877","3.164795"
"2005-05-09","09 May 2005","3.538293","2.089695","4.058491","2.256091","4.177304","2.004987","2.449358","2.836299","2.027818","3.168669"
"2005-05-10","10 May 2005","3.466803","2.068547","3.985252","2.215278","4.104918","2.007261","2.396918","2.772521","2.021215","3.100214"
"2005-05-11","11 May 2005","3.438728","2.069301","3.952305","2.212383","4.071275","2.008843","2.389361","2.756236","2.022799","3.077624"
"2005-05-12","12 May 2005","3.438924","2.078542","3.949299","2.224900","4.067875","2.011141","2.401609","2.764459","2.027998","3.081724"
"2005-05-13","13 May 2005","3.403082","2.078609","3.916034","2.221650","4.040002","2.009375","2.392345","2.742930","2.027447","3.051686"
"2005-05-16","16 May 2005","3.411818","2.082895","3.920055","2.227210","4.040486","2.012972","2.399165","2.751521","2.031226","3.060915"
"2005-05-17","17 May 2005","3.424227","2.082170","3.937582","2.227209","4.059140","2.012733","2.400694","2.756769","2.030691","3.069559"
"2005-05-18","18 May 2005","3.389815","2.077145","3.885255","2.218995","3.998077","2.009587","2.388914","2.737709","2.026986","3.043748"
"2005-05-19","19 May 2005","3.402703","2.084307","3.889857","2.229849","3.997119","2.012759","2.402070","2.752755","2.031623","3.058605"
"2005-05-20","20 May 2005","3.444935","2.107245","3.930867","2.272246","3.994635","2.001163","2.448674","2.794536","2.034167","3.097121"
"2005-05-23","23 May 2005","3.414573","2.104982","3.904845","2.262094","3.973180","2.006227","2.432441","2.770298","2.036642","3.068753"
"2005-05-24","24 May 2005","3.377583","2.079476","3.875687","2.218750","3.940768","2.004307","2.381189","2.718104","2.025640","3.022615"
"2005-05-25","25 May 2005","3.371227","2.065707","3.888045","2.194704","3.959368","2.005204","2.353584","2.693337","2.020814","3.005276"
"2005-05-26","26 May 2005","3.413257","2.073358","3.931810","2.210257","4.001450","2.005984","2.375664","2.724925","2.023974","3.042755"
"2005-05-27","27 May 2005","3.425522","2.067219","3.974784","2.198120","4.058701","2.008819","2.362040","2.715591","2.023291","3.041691"
"2005-05-30","30 May 2005","3.426996","2.065981","3.979916","2.196583","4.065824","2.008132","2.360536","2.714696","2.022382","3.041712"
